Month,categories,average_price_history,pricing_trends,win_loss_ratios,sales_volumes,Cost
2022-01-31,Service B,47.49080237694725,0.05198473153382331,0.48171824077060577,1490.4090062619084,18.232029320207552
2022-02-28,Service A,59.01428612819832,0.026613355492701964,0.5424124633284233,1238.720061348719,20.18790621743366
2022-03-31,Product A,54.6398788362281,0.031012923070318856,0.563148898323217,1490.3489013771034,22.030189588951778
2022-04-30,Service C,51.97316968394073,0.008628777206798149,0.6845697780975133,1784.5091416164923,18.63629602379294
2022-05-31,Product A,43.12037280884873,0.02183425913212226,0.6274894631654769,1391.0434902225122,24.717820827209607
2022-06-30,Product A,43.11989040672405,0.03166383884564799,0.45895678757098124,1791.1609139535017,24.62447294942111
2022-07-31,Product A,41.16167224336399,0.012735096338665458,0.6259267175515836,745.0637239775639,17.517822958253642
2022-08-31,Product C,57.3235229154987,0.03563547027518508,0.5691934175666946,1605.4756260938059,19.972485058923855
2022-09-30,Service C,52.022300234864176,0.020990419651217923,0.5458462399755233,1421.7617670595428,18.008783098167697
2022-10-31,Product A,54.161451555920905,0.025624593753100847,0.6489341031072694,1325.248162383533,17.848404943774675
2022-11-30,Service A,40.41168988591605,0.020974400816559047,0.6824799617996761,1422.9401941338756,15.368869473545328
2022-12-31,Product B,59.39819704323989,0.05778417276763406,0.6745024095292959,903.1077713497768,21.09564333979897
2023-01-31,Product A,56.648852816008436,0.02979754162893099,0.5328625981421888,1345.082028040622,20.026790232288615
2023-02-28,Product C,44.246782213565524,0.014134336065661494,0.5752630099319028,1489.2781428779367,15.514787512499893
2023-03-31,Service C,43.63649934414201,0.04233817368154783,0.6265010745122851,1769.473511185379,17.786464642366113
2023-04-30,Product C,43.66809019706868,0.011687345250434664,0.6780436101697888,1270.4324454315881,24.082658859666537
2023-05-31,Product A,46.08484485919075,0.03313295392507133,0.5616660609723768,1197.876599276703,17.395618906669725
2023-06-30,Service C,50.49512863264476,0.0006049481418033652,0.5851472818668946,1274.560739103866,16.44894872091223
2023-07-31,Product B,48.638900372842315,0.010077209266523543,0.5114932020795178,1628.8505294255185,19.894527602775632
2023-08-31,Product A,45.82458280396084,0.03295291853803685,0.5043034700735463,1482.1877774149211,24.856504541106005
2023-09-30,Product C,52.23705789444759,0.04107699869993116,0.6650020657915359,1267.5599490582404,17.420552715115004
2023-10-31,Service B,42.78987721304084,0.032570524217849554,0.7084992022856658,1528.316858278339,21.721355474058786
2023-11-30,Service A,45.84289297070436,0.02826527576417639,0.5942391902735733,1424.2693873370101,22.616196153287177
2023-12-31,Product C,47.327236865873836,0.025483444566160668,0.680282631831362,1642.1612476332223,17.376375439923997
